open_time,close_time,symbol,type,volume,open_price,close_price,sl,tp,commission,swap,profit,comment,balance
2025.10.01 02:15:14,2025.10.01 04:14:14,NAS100,buy,0.2,10107.6,10110.307,10057.062,10208.676,-0.7,-1.93,54.14,breaker block,5054.14
2025.10.02 16:26:14,2025.10.02 18:56:14,NAS100,sell,0.2,4307.06,4308.6265,4328.5953,4263.9894,-0.7,-0.09,-31.33,FVG entry,5022.81
2025.10.02 09:54:22,2025.10.02 14:44:22,XAUUSD,buy,0.3,16588.26,16592.88767,16505.3187,16754.1426,-1.05,-0.45,138.83,MSS confirm,5161.64
2025.10.03 12:02:42,2025.10.03 16:02:42,NAS100,sell,0.3,3253.92,3255.419,3270.1896,3221.3808,-1.05,-1.11,-44.97,FVG entry,5116.67
2025.10.04 12:38:40,2025.10.04 17:31:40,NAS100,buy,0.2,13692.6,13698.945,13624.137,13829.526,-0.7,0.11,126.9,OB retest,5243.57
2025.10.05 07:51:20,2025.10.05 09:47:20,NAS100,buy,0.5,7913.24,7912.1476,7873.6738,7992.3724,-1.75,0.29,-54.62,OB retest,5188.95
2025.10.06 08:47:35,2025.10.06 13:15:35,XAUUSD,sell,0.5,1819.1,1816.5534,1828.1955,1800.909,-1.75,-1.88,127.33,breaker block,5316.28
2025.10.06 15:38:04,2025.10.06 16:44:04,NAS100,sell,1.0,15017.81,15016.0413,15092.89905,14867.6319,-3.5,-0.08,176.87,breaker block,5493.15
2025.10.07 08:29:00,2025.10.07 13:57:00,GBPUSD,sell,0.3,1.3025,2.2225,1.30901,1.28947,-1.05,-0.73,-27.6,breaker block,5465.55
2025.10.07 08:34:49,2025.10.07 11:19:49,GBPUSD,buy,0.2,1.06738,5.90588,1.06204,1.07805,-0.7,0.2,96.77,breaker block,5562.32
2025.10.08 03:52:04,2025.10.08 08:30:04,GBPUSD,buy,1.0,1.17694,0.79734,1.17106,1.18871,-3.5,-1.47,-37.96,OB retest,5524.36
2025.10.09 13:45:19,2025.10.09 14:25:19,NAS100,sell,0.3,421.66,422.766,423.7683,417.4434,-1.05,-0.62,-33.18,MSS confirm,5491.18
2025.10.10 05:40:03,2025.10.10 07:37:03,NAS100,buy,1.0,2647.1,2648.1758,2633.8645,2673.571,-3.5,0.34,107.58,liquidity sweep,5598.76
2025.10.10 10:51:26,2025.10.10 11:26:26,NAS100,buy,0.1,1213.19,1228.631,1207.12405,1225.3219,-0.35,-0.18,154.41,MSS confirm,5753.17
2025.10.11 01:12:34,2025.10.11 05:06:34,NAS100,sell,1.0,1959.08,1957.6883,1968.8754,1939.4892,-3.5,-0.37,139.17,OB retest,5892.34
2025.10.12 00:59:48,2025.10.12 01:37:48,EURUSD,buy,0.2,1.16369,5.48419,1.15787,1.17533,-0.7,0.46,86.41,MSS confirm,5978.75
2025.10.13 15:18:27,2025.10.13 20:03:27,XAUUSD,sell,0.1,14959.76,14954.299,15034.5588,14810.1624,-0.35,-1.86,54.61,OB retest,6033.36
2025.10.13 11:10:03,2025.10.13 14:44:03,GBPUSD,buy,0.1,1.33248,12.30848,1.32582,1.3458,-0.35,-0.58,109.76,OB retest,6143.12
2025.10.14 00:26:42,2025.10.14 03:56:42,XAUUSD,sell,0.2,13434.13,13428.1575,13501.30065,13299.7887,-0.7,-1.25,119.45,liquidity sweep,6262.57
2025.10.15 12:00:29,2025.10.15 15:06:29,XAUUSD,buy,0.1,17585.53,17594.29,17497.60235,17761.3853,-0.35,-1.08,87.6,FVG entry,6350.17
2025.10.15 14:39:51,2025.10.15 15:55:51,XAUUSD,buy,0.3,2309.46,2317.156,2297.9127,2332.5546,-1.05,-1.73,230.88,breaker block,6581.05
2025.10.16 11:13:45,2025.10.16 12:08:45,NAS100,sell,0.5,16587.13,16581.7958,16670.06565,16421.2587,-1.75,-1.89,266.71,breaker block,6847.76
2025.10.16 02:10:47,2025.10.16 03:34:47,NAS100,sell,1.0,721.53,720.2509,725.13765,714.3147,-3.5,-1.08,127.91,breaker block,6975.67
2025.10.17 07:19:23,2025.10.17 12:13:23,EURUSD,buy,0.5,1.34215,2.77095,1.33544,1.35557,-1.75,-0.13,71.44,liquidity sweep,7047.11
2025.10.18 08:51:51,2025.10.18 12:29:51,NAS100,sell,0.2,5336.85,5323.073,5363.53425,5283.4815,-0.7,-0.03,275.54,FVG entry,7322.65
2025.10.19 15:14:12,2025.10.19 15:34:12,EURUSD,sell,0.2,1.16954,-6.26496,1.17539,1.15784,-0.7,-1.3,148.69,liquidity sweep,7471.34
2025.10.19 14:41:32,2025.10.19 17:04:32,NAS100,sell,0.1,2168.94,2153.017,2179.7847,2147.2506,-0.35,-0.91,159.23,FVG entry,7630.57
2025.10.20 11:32:07,2025.10.20 16:15:07,NAS100,buy,0.2,7285.07,7293.133,7248.64465,7357.9207,-0.7,-1.83,161.26,liquidity sweep,7791.83
2025.10.21 09:42:54,2025.10.21 12:21:54,NAS100,sell,1.0,2546.63,2545.2119,2559.36315,2521.1637,-3.5,-0.95,141.81,breaker block,7933.64
2025.10.22 13:39:36,2025.10.22 16:31:36,NAS100,buy,0.5,8836.28,8839.8098,8792.0986,8924.6428,-1.75,-0.31,176.49,liquidity sweep,8110.13
2025.10.23 13:42:05,2025.10.23 15:45:05,NAS100,sell,0.2,2947.93,2952.391,2962.66965,2918.4507,-0.7,-1.88,-89.22,FVG entry,8020.91
2025.10.24 12:29:26,2025.10.24 12:39:26,EURUSD,buy,0.1,1.28353,16.93553,1.27711,1.29637,-0.35,-1.45,156.52,MSS confirm,8177.43
2025.10.25 15:03:35,2025.10.25 19:57:35,NAS100,buy,1.0,6346.64,6348.4354,6314.9068,6410.1064,-3.5,-0.11,179.54,MSS confirm,8356.97
2025.10.26 16:27:53,2025.10.26 18:41:53,GBPUSD,sell,0.3,1.27974,3.00041,1.28614,1.26694,-1.05,-0.7,-51.62,OB retest,8305.35
2025.10.26 07:45:18,2025.10.26 11:09:18,NAS100,sell,0.2,14128.68,14130.3995,14199.3234,13987.3932,-0.7,-1.84,-34.39,liquidity sweep,8270.96
2025.10.27 10:03:13,2025.10.27 15:05:13,EURUSD,sell,0.5,1.19309,2.58349,1.19906,1.18116,-1.75,0.36,-69.52,breaker block,8201.44
2025.10.27 10:34:47,2025.10.27 13:34:47,XAUUSD,buy,0.5,14483.9,14485.6976,14411.4805,14628.739,-1.75,0.1,89.88,MSS confirm,8291.32
2025.10.29 21:01:58,2025.10.29 21:34:58,NAS100,buy,0.3,7582.7,7580.943,7544.7865,7658.527,-1.05,-1.47,-52.71,FVG entry,8238.61
2025.10.29 15:17:48,2025.10.29 15:51:48,GBPUSD,sell,0.3,1.11727,3.90127,1.12286,1.1061,-1.05,-1.83,-83.52,liquidity sweep,8155.09
2025.10.30 00:15:12,2025.10.30 02:14:12,EURUSD,buy,0.5,1.25984,5.66584,1.25354,1.27244,-1.75,-0.08,220.3,OB retest,8375.39
2025.10.31 12:49:52,2025.10.31 16:09:52,NAS100,sell,0.5,18829.47,18823.9598,18923.61735,18641.1753,-1.75,-1.5,275.51,FVG entry,8650.9
2025.11.01 13:06:44,2025.11.01 16:23:44,EURUSD,buy,0.1,1.20179,-4.87221,1.19578,1.21381,-0.35,-1.15,-60.74,breaker block,8590.16
2025.11.02 12:27:23,2025.11.02 14:53:23,XAUUSD,sell,1.0,16164.18,16160.8219,16245.0009,16002.5382,-3.5,-0.65,335.81,OB retest,8925.97
2025.11.02 11:17:20,2025.11.02 16:37:20,EURUSD,buy,0.5,1.15092,-0.07148,1.14517,1.16243,-1.75,-0.76,-61.12,liquidity sweep,8864.85
2025.11.03 09:51:16,2025.11.03 13:27:16,NAS100,sell,0.5,11103.97,11100.7554,11159.48985,10992.9303,-1.75,-1.4,160.73,breaker block,9025.58
2025.11.03 15:50:01,2025.11.03 20:00:01,NAS100,buy,1.0,10618.91,10618.1898,10565.81545,10725.0991,-3.5,-0.94,-72.02,MSS confirm,8953.56
2025.11.04 10:17:19,2025.11.04 11:59:19,NAS100,buy,0.2,4328.48,4345.9245,4306.8376,4371.7648,-0.7,-0.79,348.89,OB retest,9302.45
2025.11.05 21:38:18,2025.11.06 02:19:18,GBPUSD,buy,0.2,1.13229,4.86029,1.12663,1.14361,-0.7,0.44,74.56,liquidity sweep,9377.01
2025.11.06 13:40:55,2025.11.06 15:22:55,EURUSD,buy,0.1,1.12574,19.98774,1.12011,1.137,-0.35,0.15,188.62,FVG entry,9565.63
2025.11.06 03:04:36,2025.11.06 05:19:36,XAUUSD,buy,0.1,11161.9,11179.783,11106.0905,11273.519,-0.35,-0.96,178.83,OB retest,9744.46
2025.11.07 16:24:28,2025.11.07 21:44:28,GBPUSD,sell,0.1,1.33428,9.38928,1.34095,1.32094,-0.35,-1.48,-80.55,breaker block,9663.91
2025.11.08 13:15:11,2025.11.08 13:39:11,XAUUSD,buy,0.2,5762.81,5774.8955,5733.99595,5820.4381,-0.7,-1.29,241.71,FVG entry,9905.62
2025.11.09 01:59:16,2025.11.09 04:23:16,EURUSD,buy,0.2,1.07142,6.37392,1.06606,1.08213,-0.7,-1.59,106.05,MSS confirm,10011.67
2025.11.09 16:58:18,2025.11.09 21:18:18,NAS100,sell,0.5,1609.76,1611.8118,1617.8088,1593.6624,-1.75,-1.9,-102.59,liquidity sweep,9909.08
2025.11.10 09:01:05,2025.11.10 13:34:05,NAS100,buy,0.5,18321.54,18320.2776,18229.9323,18504.7554,-1.75,-1.55,-63.12,liquidity sweep,9845.96
2025.11.11 15:05:30,2025.11.11 19:26:30,NAS100,sell,0.3,13252.01,13254.69533,13318.27005,13119.4899,-1.05,-1.0,-80.56,liquidity sweep,9765.4
2025.11.12 00:20:16,2025.11.12 04:24:16,NAS100,sell,0.5,1085.03,1086.636,1090.45515,1074.1797,-1.75,-0.7,-80.3,breaker block,9685.1
2025.11.13 10:48:03,2025.11.13 16:18:03,NAS100,buy,1.0,15986.48,15988.0427,15906.5476,16146.3448,-3.5,-0.23,156.27,liquidity sweep,9841.37
2025.11.13 03:05:14,2025.11.13 05:42:14,GBPUSD,buy,1.0,1.26162,0.68792,1.25531,1.27424,-3.5,-0.96,-57.37,MSS confirm,9784.0
2025.11.14 10:35:09,2025.11.14 15:02:09,NAS100,buy,0.3,16411.17,16419.46533,16329.11415,16575.2817,-1.05,-1.29,248.86,FVG entry,10032.86
2025.11.14 15:55:09,2025.11.14 18:47:09,NAS100,sell,0.2,19615.51,19603.5155,19713.58755,19419.3549,-0.7,-1.4,239.89,liquidity sweep,10272.75
2025.11.15 15:02:20,2025.11.15 16:27:20,XAUUSD,sell,0.5,19296.52,19298.7842,19393.0026,19103.5548,-1.75,-1.68,-113.21,MSS confirm,10159.54
2025.11.16 07:55:54,2025.11.16 09:22:54,NAS100,sell,0.1,9390.34,9399.544,9437.2917,9296.4366,-0.35,0.42,-92.04,FVG entry,10067.5
2025.11.17 12:54:21,2025.11.17 17:39:21,EURUSD,sell,0.1,1.23524,11.17524,1.24142,1.22289,-0.35,-1.41,-99.4,liquidity sweep,9968.1
2025.11.17 08:47:05,2025.11.17 09:18:05,NAS100,buy,0.3,15923.07,15935.13833,15843.45465,16082.3007,-1.05,-1.27,362.05,FVG entry,10330.15
2025.11.18 04:26:36,2025.11.18 06:37:36,XAUUSD,buy,0.5,18256.67,18261.0806,18165.38665,18439.2367,-1.75,-1.64,220.53,OB retest,10550.68
2025.11.19 09:42:00,2025.11.19 12:46:00,EURUSD,sell,1.0,1.13975,1.80655,1.14545,1.12835,-3.5,0.41,-66.68,liquidity sweep,10484.0
2025.11.20 09:12:24,2025.11.20 11:51:24,EURUSD,buy,0.1,1.34338,17.34638,1.33666,1.35681,-0.35,-0.35,160.03,OB retest,10644.03
2025.11.20 12:58:38,2025.11.20 18:23:38,XAUUSD,sell,0.3,13555.61,13558.669,13623.38805,13420.0539,-1.05,-0.2,-91.77,OB retest,10552.26
2025.11.21 12:57:40,2025.11.21 15:36:40,XAUUSD,sell,0.3,14949.87,14945.58433,15024.61935,14800.3713,-1.05,-1.56,128.57,MSS confirm,10680.83
2025.11.21 09:33:32,2025.11.21 12:12:32,GBPUSD,buy,0.3,1.29127,-4.06306,1.28481,1.30418,-1.05,-0.83,-160.63,liquidity sweep,10520.2
2025.11.22 13:55:43,2025.11.22 18:37:43,XAUUSD,sell,0.1,9096.27,9081.232,9141.75135,9005.3073,-0.35,-0.32,150.38,breaker block,10670.58
2025.11.22 14:06:43,2025.11.22 16:07:43,NAS100,buy,0.1,12708.44,12695.564,12644.8978,12835.5244,-0.35,-0.84,-128.76,breaker block,10541.82
2025.11.23 12:08:02,2025.11.23 15:34:02,GBPUSD,sell,0.5,1.1613,-2.4909,1.16711,1.14969,-1.75,0.37,182.61,MSS confirm,10724.43
2025.11.24 11:47:46,2025.11.24 14:18:46,NAS100,sell,0.1,13805.92,13819.455,13874.9496,13667.8608,-0.35,-1.46,-135.35,FVG entry,10589.08
2025.11.25 09:06:43,2025.11.25 13:06:43,NAS100,sell,0.1,13255.71,13245.303,13321.98855,13123.1529,-0.35,-0.4,104.07,FVG entry,10693.15
